"id_cliente","nome","valor_compra","loja_cadastro","id_cliente","id_transacao","valor_compra","id_loja"
"5","jose","500.43","cea","5",,"500.43","cea"
"1","maria","150.7","riachuelo ","5",,"500.43","cea"
"2","valentina","210.99","zara","5",,"500.43","cea"
"4","joana","1300.5","pontofrio","5",,"500.43","cea"
"6","fernando","86.55","pontofrio","5",,"500.43","cea"
"5","jose","500.43","cea","1",,"150.7","riachuelo "
"1","maria","150.7","riachuelo ","1",,"150.7","riachuelo "
"2","valentina","210.99","zara","1",,"150.7","riachuelo "
"4","joana","1300.5","pontofrio","1",,"150.7","riachuelo "
"6","fernando","86.55","pontofrio","1",,"150.7","riachuelo "
"5","jose","500.43","cea","2",,"210.99","zara"
"1","maria","150.7","riachuelo ","2",,"210.99","zara"
"2","valentina","210.99","zara","2",,"210.99","zara"
"4","joana","1300.5","pontofrio","2",,"210.99","zara"
"6","fernando","86.55","pontofrio","2",,"210.99","zara"
"5","jose","500.43","cea","4",,"1300.5","pontofrio"
"1","maria","150.7","riachuelo ","4",,"1300.5","pontofrio"
"2","valentina","210.99","zara","4",,"1300.5","pontofrio"
"4","joana","1300.5","pontofrio","4",,"1300.5","pontofrio"
"6","fernando","86.55","pontofrio","4",,"1300.5","pontofrio"
"5","jose","500.43","cea","6",,"86.55","pontofrio"
"1","maria","150.7","riachuelo ","6",,"86.55","pontofrio"
"2","valentina","210.99","zara","6",,"86.55","pontofrio"
"4","joana","1300.5","pontofrio","6",,"86.55","pontofrio"
"6","fernando","86.55","pontofrio","6",,"86.55","pontofrio"
"5","jose","500.43","cea","1","768805383","50.74","magalu"
"5","jose","500.43","cea","2","768805399","30.9","giraffas"
"5","jose","500.43","cea","3","818770008","110.0","postoshell"
"5","jose","500.43","cea","1","76856563","2000.9","magalu"
"5","jose","500.43","cea","1","767573759","15.7","subway"
"5","jose","500.43","cea","3","818575758","2.99","seveneleven"
"5","jose","500.43","cea","4","764545534","50.74","extra"
"5","jose","500.43","cea","5","76766789","10.0","subway"
"5","jose","500.43","cea","3","959569","1100.0","shopee"
"1","maria","150.7","riachuelo ","1","768805383","50.74","magalu"
"1","maria","150.7","riachuelo ","2","768805399","30.9","giraffas"
"1","maria","150.7","riachuelo ","3","818770008","110.0","postoshell"
"1","maria","150.7","riachuelo ","1","76856563","2000.9","magalu"
"1","maria","150.7","riachuelo ","1","767573759","15.7","subway"
"1","maria","150.7","riachuelo ","3","818575758","2.99","seveneleven"
"1","maria","150.7","riachuelo ","4","764545534","50.74","extra"
"1","maria","150.7","riachuelo ","5","76766789","10.0","subway"
"1","maria","150.7","riachuelo ","3","959569","1100.0","shopee"
"2","valentina","210.99","zara","1","768805383","50.74","magalu"
"2","valentina","210.99","zara","2","768805399","30.9","giraffas"
"2","valentina","210.99","zara","3","818770008","110.0","postoshell"
"2","valentina","210.99","zara","1","76856563","2000.9","magalu"
"2","valentina","210.99","zara","1","767573759","15.7","subway"
"2","valentina","210.99","zara","3","818575758","2.99","seveneleven"
"2","valentina","210.99","zara","4","764545534","50.74","extra"
"2","valentina","210.99","zara","5","76766789","10.0","subway"
